field_id,n_observations,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,anomaly_score,anomaly_status,forecast_mean_ET,forecast_trend,forecast_uncertainty,min_ET,max_ET,range_ET
33,100,58.65226666666668,29.016196959169772,49.47156965659145,-0.07578677867786734,-0.1292137252061881,stable,-0.008909784436441094,low,0.3713650005603053,normal,48.787292,0.2307877440552626,5.3567085,10.16,135.53333333333333,125.37333333333333
34,100,65.79872586872587,34.2561715987495,52.062059175877536,0.05184441996323122,0.0787924375111234,stable,-0.01983919330077851,low,0.08186896677677055,normal,59.575825,2.734135754458553,9.400848,15.961389961389962,156.25482625482624,140.2934362934363
35,100,57.26264957264957,32.97678093339391,57.58863967961526,-0.08073992014586141,-0.14099927395679804,stable,0.01054465117844443,low,0.5228957562063695,normal,51.549683,3.006955326853934,10.762965,13.273504273504274,147.17094017094018,133.8974358974359
36,100,52.962888888888884,29.928571105959012,56.508569932328115,0.19843464346434664,0.37466733334853336,stable,-0.0190371619350213,low,0.06911270294600157,normal,39.00707,0.35774371674010685,10.959094,9.422222222222222,154.13333333333333,144.7111111111111
37,100,70.2000358422939,40.532133341936806,57.738052204123136,0.01071748035018497,0.015267058230941722,stable,-0.01323563678069747,low,0.4211942040542316,normal,53.37485,0.9978343656846705,24.586798,8.684587813620071,190.43010752688173,181.74551971326164
38,100,47.61625000000001,22.62246638410023,47.50997061738425,-0.05112457674338888,-0.10736791902635943,stable,0.09390162533782903,low,0.10992549053066616,normal,36.712917,-0.4394172855190445,6.4868875,12.125,114.0,101.875
39,100,74.42695090439275,43.132000985632054,57.95212683244068,0.19005378057185524,0.2553561287442693,stable,-0.017776188700724744,low,0.03591402884750419,normal,72.1625,4.26410049491829,9.666732,14.11111111111111,185.11627906976744,171.00516795865633
40,100,53.01264150943397,25.34503546551689,47.80941817624116,-0.07483370978607339,-0.1411620090139372,stable,0.05355049261534781,low,0.12817068535798534,normal,46.83302,0.7990545126108012,6.640878,13.150943396226415,115.81132075471699,102.66037735849058
41,100,63.36097872340426,34.2453203541512,54.0479661838015,-0.03806844514238641,-0.060081845181985324,stable,-0.0051655603008529186,low,0.47614270813768356,normal,49.20076,0.5635999399465276,6.820493,14.008510638297873,167.46382978723403,153.45531914893616
42,100,67.56992405063292,39.65355044560925,58.685207957160365,0.002192421773822533,0.0032446710642735975,stable,0.01596726045668764,low,0.5548289235547352,normal,48.65051,1.5510957157695218,9.911566,13.778481012658228,184.06962025316454,170.2911392405063
43,100,50.11960784313725,25.50997369990676,50.898190943047794,-0.0685487372266642,-0.13677029844528282,stable,0.06499477982885642,low,0.4007275405244811,normal,39.975044,-0.4053467070306089,7.304748,9.215686274509803,120.62745098039215,111.41176470588235
44,100,40.403333333333336,19.745867984698364,48.87187852000255,-0.00010334366770034284,-0.0002557800537092884,stable,0.13350622331159984,low,0.21596642131655544,normal,33.052334,0.8389224439234181,4.394206,6.311111111111111,85.08888888888889,78.77777777777777
45,100,68.45099431818181,45.38406177545675,66.30153765845579,-0.07745716048877586,-0.11315710058020569,stable,-0.007458800524903131,low,0.47946222375331204,normal,61.872715,0.016669286714567834,14.565006,14.136363636363637,192.4005681818182,178.26420454545456
46,100,53.41097560975611,31.161797333080127,58.34343405513094,0.16620681580353142,0.31118475913623245,stable,0.009276067502423747,low,0.023989661687972348,normal,38.260246,0.13075383059628498,13.11082,13.487804878048781,164.1219512195122,150.6341463414634
47,100,66.5472857142857,37.69415218517567,56.64265909658861,0.06041172688697437,0.09078015164487134,stable,-0.005811173616296397,low,0.09088563992704574,normal,61.595272,0.5953542269193247,8.695419,17.97142857142857,184.4,166.42857142857144
48,100,38.73,21.418295052962982,55.30156223331522,0.09118785407952548,0.2354450144062109,stable,0.17441471689964286,low,0.27336442912574516,normal,30.13359,0.15537515053382397,5.9550433,4.132352941176471,105.34558823529412,101.21323529411765
49,100,53.78096153846153,25.625881554326877,47.648611741536996,-0.016117265572711356,-0.02996834774176559,stable,0.07614730163152984,low,0.1072083193112161,normal,45.359615,0.3798132176165809,7.87748,10.942307692307692,115.51923076923077,104.57692307692308
50,100,44.80536585365854,19.223407733231088,42.90425346825154,-0.08169948702187341,-0.18234308651494316,stable,0.036001399819036245,low,0.17511679043228706,normal,37.912655,-0.07350729562185697,5.737873,11.317073170731707,97.36585365853658,86.04878048780488
51,100,76.59692307692309,45.689118148195455,59.64876435351297,-0.12038219206536041,-0.15716322174516803,stable,0.14020665916214375,low,0.15490980335263613,normal,58.800114,3.823916308529727,14.257965,13.615384615384615,196.92307692307693,183.30769230769232
52,100,78.58454545454546,46.26290350265391,58.870231080503096,-0.09621416687123276,-0.12243395481225318,stable,0.1068471163316428,low,0.09958892283983956,normal,63.086563,4.184014973940551,13.746886,12.636363636363637,198.8181818181818,186.1818181818182
53,100,79.29875,48.108958024337845,60.6679903836288,-0.0789318931893194,-0.09953737377867797,stable,0.08285619869326617,low,0.03836343740943869,normal,54.72137,3.3144137976052885,13.580365,12.4375,198.8125,186.375
54,100,66.786,39.36030746831127,58.93496761044421,-0.0775145514551454,-0.11606407249295571,stable,0.09870659532969683,low,0.16605561339331745,normal,68.40587,4.660932994389036,6.334164,11.4,150.4,139.0
55,100,64.75200000000001,35.50251957255992,54.828452515072755,-0.07010381038103877,-0.10826508892549846,stable,0.11504062080424848,low,0.1845502820330555,normal,63.2764,3.80026103733303,5.9911423,14.2,145.4,131.20000000000002
56,100,78.33866666666667,46.41314629857939,59.24679123793196,-0.11636363636363661,-0.14853920970951331,stable,0.09136874658474431,low,0.0744472979940837,normal,67.45989,5.216165395883414,16.826923,12.133333333333333,196.0,183.86666666666667
57,100,70.08999999999999,39.44426872657357,56.27659969549661,-0.09201463003443261,-0.13128068202943732,stable,0.07304552079219337,low,0.21355024710240178,normal,53.141308,2.651929481879816,10.948082,15.476190476190476,161.1904761904762,145.71428571428572
58,100,48.47666666666666,24.574353262529716,50.6931580743926,-0.11756175617561784,-0.2425120460199777,stable,-0.08454718100956268,low,0.3641556216469752,normal,46.32057,0.3255766955288983,8.910371,10.222222222222221,106.88888888888889,96.66666666666666
59,100,46.73,23.290601108601727,49.84078987503045,0.051191119111911355,0.10954658487462307,stable,-0.07048527938031693,low,0.09037980557842169,normal,41.02579,-0.007187536546397796,4.952035,7.0,117.0,110.0
60,100,62.57790000000001,37.19834886913666,59.44326810125724,0.002645484548454482,0.004227506113906798,stable,-0.06896912078649821,low,0.3206567055425554,normal,58.07419,-1.0491036268380958,7.647173,13.06,156.63,143.57
61,100,71.13228070175438,46.37597646451419,65.19680798505648,0.035799650140452194,0.05032827541486273,stable,-0.04667915168944956,low,0.30353485186387424,normal,73.42252,1.7039846073497442,14.436005,12.964912280701755,193.53216374269005,180.5672514619883
62,100,46.39135593220339,24.068341972217006,51.881091829673245,-0.0928942724780958,-0.2002404771566756,stable,0.05567884477925749,low,0.09782172707944704,normal,37.469067,0.562493931163442,6.3820705,13.101694915254237,151.8135593220339,138.71186440677968
63,100,70.10148571428572,45.52983522111671,64.94845973262784,-0.046245150229308966,-0.06596885894514622,stable,-0.06661097608048287,low,0.24787639519804577,normal,63.386,1.0692120265293819,9.516599,12.09142857142857,188.14857142857142,176.05714285714285
64,100,47.52823529411766,26.625811093341667,56.02103871219687,-0.10758087573463279,-0.22635150467694215,stable,0.0769130834689725,low,0.06171955954965342,normal,41.66851,-0.06335407203727558,5.2173715,10.450980392156863,170.47058823529412,160.01960784313727
65,100,62.87765957446809,37.02021677071892,58.87658195495437,-0.0669365659970256,-0.10645524412013208,stable,-0.04272731481311984,low,0.20639958685633966,normal,55.682526,0.6132965954867307,6.5841794,13.925531914893616,174.40425531914894,160.47872340425533
66,100,44.75491525423728,21.688915539565137,48.461527446444414,-0.02493910407989969,-0.05572372093261538,stable,-0.03633530550396202,low,0.11803264185016615,normal,37.11803,-0.18413462672200093,4.793731,8.830508474576272,100.23728813559322,91.40677966101694
67,100,46.15903846153846,22.192302335521287,48.07791296175459,-0.06133709524798652,-0.13288209046879307,stable,-0.042728454307334046,low,0.144913379866587,normal,38.677372,0.07868602392556923,5.4219575,11.288461538461538,103.42307692307692,92.13461538461539
68,100,58.691,30.482446079670183,51.93717278572555,0.018297629762976244,0.03117621059954038,stable,-0.04106280466041958,low,0.03538101887168743,normal,47.36731,1.513523408582996,14.617832,15.1,177.7,162.6
69,100,60.48148148148148,31.14319817981032,51.492121913954605,0.047445633452233966,0.07844654643051543,stable,-0.05636056952346041,low,0.11862765099184634,normal,51.306538,0.7139564327426737,10.380822,9.777777777777779,165.25925925925927,155.4814814814815
70,100,62.04314285714287,33.984713609239684,54.775938232998634,-0.07790476190476255,-0.12556546673359498,stable,-0.06100706270099328,low,0.1797110501401463,normal,53.67368,0.03339917509705986,6.9565735,10.057142857142857,171.94285714285715,161.8857142857143
71,100,63.82333333333334,38.50349060655266,60.32823513848539,-0.07865519885321912,-0.12323893902943402,stable,-0.016356021085113217,low,0.4960877782821182,normal,59.736897,0.23232068548669343,15.176471,14.555555555555555,177.66666666666666,163.11111111111111
72,100,56.349104477611945,28.56924210654203,50.700436806219116,-0.016765945251241438,-0.029753703109696647,stable,-0.018248574531543965,low,0.24535310431636778,normal,50.74449,1.467575326666133,6.20699,14.238805970149254,131.98507462686567,117.74626865671641
73,100,60.95125,33.86902112827443,55.56739382420284,-0.06658040804080427,-0.10923550877267368,stable,-0.014481836061010129,low,0.47742743844760877,normal,57.737606,-0.9491796293458703,12.007581,12.375,157.875,145.5
74,100,60.269333333333314,34.16343628793801,56.68460956584558,-0.07418561856185717,-0.12309015955354387,stable,-0.018406277823000187,low,0.43804629430530545,normal,45.345608,0.20161660734590134,10.745637,14.383333333333333,156.59166666666667,142.20833333333334
75,100,68.3568181818182,39.565387022075384,57.88067390269364,-0.04766876687668838,-0.06973520439453032,stable,-0.10449483024859232,low,0.2706681702144306,normal,63.896587,-1.519219711943935,11.575516,15.0,171.5909090909091,156.5909090909091
76,100,61.83483870967743,33.734055170581264,54.55509527398789,-0.05669134655401039,-0.0916818863556572,stable,-0.10133994105437817,low,0.2748060538161928,normal,55.136814,-1.9314274821248052,8.27883,12.258064516129032,152.80645161290323,140.5483870967742
77,100,47.678775510204076,23.346701800566994,48.966655604589505,-0.09529981569585569,-0.19987890770277833,stable,0.10737486646150354,low,0.2904400109468965,normal,37.85348,-0.8427115687123528,5.175897,11.10204081632653,114.71428571428571,103.61224489795917
78,100,62.6363063063063,34.013194579378805,54.30268255769468,-0.07420736668261478,-0.11847340793009611,stable,-0.10561357852659954,low,0.27377557730574237,normal,61.094128,0.024887351722986215,7.2042212,13.135135135135135,155.72072072072072,142.5855855855856
79,100,55.9404,27.656505343951174,49.43923415626484,-0.054892769276927836,-0.09812723769749206,stable,0.08668222339155672,low,0.4570497914612561,normal,45.147404,-0.7557112353664988,5.922338,12.8,143.16,130.35999999999999
