field_id,n_observations,years_covered,mean_ET,std_ET,cv_percent,trend_coefficient,trend_percent_per_period,trend_direction,persistence_lag1,persistence_class,yearly_variability,yearly_cv_percent,min_ET,max_ET,range_ET
82,100,25,54.563076923076935,27.922713241963063,51.17510744734671,-0.25568464538761526,-0.46860378814061315,stable,0.09005291685833207,low,13.418622547232214,24.59286261687515,12.576923076923077,147.15384615384616,134.5769230769231
83,100,25,50.05574468085106,22.597783652044473,45.145235169559484,-0.04125757256576724,-0.08242325197401451,stable,-0.05268452656491936,low,8.2822742266162,16.546101310494745,10.297872340425531,114.29787234042553,104.0
84,100,25,58.61931034482758,28.325378812982002,48.32090081981212,-0.04491635370433666,-0.07662381805605797,stable,-0.06776758942537278,low,8.833208298608788,15.068768715714183,13.03448275862069,132.24137931034483,119.20689655172413
85,100,25,65.74866666666667,36.31640444145807,55.2351953014886,-0.11952275227522836,-0.18178734008582437,stable,-0.07768349938208616,low,11.543964916786607,17.55771714020047,11.866666666666667,158.9,147.03333333333333
86,100,25,52.34714285714284,24.21619149685278,46.260770263889285,-0.11796879687968788,-0.22535861642273158,stable,-0.03857818553394473,low,9.048666013985324,17.285883278633644,12.678571428571429,127.78571428571429,115.10714285714286
87,100,25,55.990645161290324,30.407916056464348,54.30892244386417,-0.048148621313744915,-0.08599404628227597,stable,-0.043781480221199466,low,10.211733391318,18.238284916884616,9.129032258064516,153.96774193548387,144.83870967741936
88,100,25,74.64857142857143,44.113209738913675,59.09451298893783,-0.12607089280356654,-0.1688858746937968,stable,0.14879419363647395,low,22.541229073927298,30.196464101789545,15.428571428571429,193.0,177.57142857142858
89,100,25,58.29870967741935,31.238972371015766,53.584328956624326,-0.10041946130096918,-0.17224988658687987,stable,0.10471189881134785,low,14.73983335051087,25.28329260127691,9.193548387096774,126.03225806451613,116.83870967741936
90,100,25,65.90285714285716,38.01624722485407,57.68527932324166,-0.08049719257640078,-0.12214522414697074,stable,0.09524513586344296,low,17.51327345012278,26.57437660427891,9.857142857142858,148.0,138.14285714285714
91,100,25,79.00666666666666,48.217870246529046,61.03012857125438,-0.06838183818381859,-0.08655198487530831,stable,0.07453168489850241,low,21.74413771571547,27.521902433189776,11.75,197.33333333333334,185.58333333333334
